700 299.8 0 7.57 2.92 1.43256 2.86512
700 299.8 0 7.57 2.92 1.43256 2.86512
700 291.2 0 6.68 2.65 2.01168 4.02336
700 291.2 0 6.68 2.65 2.01168 4.02336
700 223.1 0 7.82 4.12 1.31064 2.62128
700 223.1 0 7.82 4.12 1.31064 2.62128
700 131 0 8.63 3.17 2.68224 5.36448
700 131 0 8.63 3.17 2.68224 5.36448
700 125 0 7.19 3.13 2.31648 4.63296
700 125 0 7.19 3.13 2.31648 4.63296
700 117 0 10.22047119 4.621932524 2.654795324 5.309590648
700 117 0 10.22047119 4.621932524 2.654795324 5.309590648
700 105 0 6.6 3.43 1.58496 3.16992
700 105 0 6.6 3.43 1.58496 3.16992
700.1 255.3 0 8.16508744 3.79802612 1.91592812 3.83185624
700.5 280 0 7.17 2.4 1.79832 3.59664
700.8 247.3 0 8.97 4.83 2.667 5.334
700.8 246.2 0 7.58 5.11 1.72212 3.44424
700.8 230 0 7.96 3.22 1.2954 2.5908
701 136 0 8.54 4.21 2.49936 4.99872
701 118 0 6.338079664 3.065664872 1.259157272 2.518314544
701.1 220.6 0 7.9 3.84 1.08204 2.16408
701.3 239.6 0 8.93 3.54 2.72796 5.45592
701.6 243.8 0 10.14 5.42 2.07264 4.14528
701.7 264.6 0 8.431526074 3.904828802 2.011707202 4.023414404
701.9 276.8 0 6.52 2.58 1.73736 3.47472
702 254.4 0 6.870956932 3.279270236 1.450715436 2.901430872
702 107 0 9.09 3.15 2.16408 4.32816
702.4 177.8 0 8.78 2.46 2.56032 5.12064
702.6 274.1 0 7.54 2.78 2.48412 4.96824
702.7 226 0 9.76 4.7 2.10312 4.20624
702.9 153.5 0 10.01 3.32 1.50876 3.01752
703 148 0 7.6 2.35 2.30124 4.60248
703 121 0 11.37 4.8 2.57556 5.15112
703 116 0 7.479959524 3.523390652 1.669639052 3.339278104
703.3 291.6 0 7.53 3.36 2.40792 4.81584
703.5 271.7 0 7.45 2.65 1.96596 3.93192
703.5 231.4 0 11.23 4.21 2.30124 4.60248
703.6 235 0 7.31 4.11 1.28016 2.56032
703.8 241.4 0 7.137395566 3.386072918 1.546494518 3.092989036
703.8 216 0 8.23 5.53 1.53924 3.07848
703.9 300 0 8.05 2.74 1.87452 3.74904
703.9 215.8 0 9.18 4.54 2.17932 4.35864
703.9 176.1 0 8.99 3.29 2.11836 4.23672
704 138 0 10.32 7.09 3.55092 7.10184
704 112 0 7.746398158 3.630193334 1.765418134 3.530836268
704.3 269.9 0 7.11 2.67 2.10312 4.20624
704.3 253.7 0 7.860586144 3.675965912 1.806466312 3.612932624
704.5 263.2 0 7.441896862 3.508133126 1.655956326 3.311912652
704.5 209.8 0 7.327708876 3.462360548 1.614908148 3.229816296
704.6 257.4 0 7.97477413 3.72173849 1.84751449 3.69502898
704.9 244 0 9.01 4.45 1.2192 2.4384
705 126 0 7.97477413 3.72173849 1.84751449 3.69502898
705 118 0 9.078591328 4.164206744 2.244313544 4.488627088
705.3 267 0 14.9 2.45 1.63068 3.26136
705.6 192 0 7.936711468 3.706480964 1.833831764 3.667663528
705.6 155.7 0 10.2 4.61 2.37744 4.75488
705.7 182.6 0 6.71 1.03 1.96596 3.93192
705.8 235.7 0 9.154716652 4.194721796 2.271678996 4.543357992
705.9 240.2 0 8.088962116 3.767511068 1.888562668 3.777125336
705.9 198.9 0 9.192779314 4.209979322 2.285361722 4.570723444
706 109 0 7.099332904 3.370815392 1.532811792 3.065623584
706.2 189.2 0 7.061270242 3.355557866 1.519129066 3.038258132
706.4 273.3 0 5.66 2.27 1.95072 3.90144
706.4 250.7 0 8.850215356 4.072661588 2.162217188 4.324434376
706.8 210.3 0 10.63916047 4.78976531 2.80530531 5.61061062
