2.00 1990.00 0.00 33.83 23.68 4.01
70.00 1956.00 0.00 33.83 23.68 4.01
98.00 1964.00 0.00 33.83 23.68 4.01
26.00 1958.00 0.00 33.83 23.68 4.01
60.00 1950.00 0.00 33.83 23.68 4.01
56.00 1992.00 0.00 33.83 23.68 4.01
44.00 1918.00 0.00 33.83 23.68 4.01
64.00 1956.00 0.00 33.83 23.68 4.01
24.00 1928.00 0.00 33.83 25.37 4.06
30.00 1940.00 0.00 33.83 25.37 4.06
38.00 1952.00 0.00 33.83 25.37 4.06
22.00 1914.00 0.00 33.83 25.37 4.06
34.00 1954.00 0.00 33.83 25.37 4.06
12.00 1992.00 0.00 33.83 25.37 4.06
90.00 1960.00 0.00 33.83 25.37 4.06
92.00 1940.00 0.00 33.83 25.37 4.06
44.00 1976.00 0.00 33.83 25.37 4.06
64.00 1974.00 0.00 33.83 25.37 4.06
8.00 1996.00 0.00 33.83 25.37 4.06
42.00 1946.00 0.00 33.83 25.37 4.06
48.00 1982.00 0.00 33.83 25.37 4.06
92.00 1994.00 0.00 33.83 25.37 4.06
8.00 1936.00 0.00 33.83 25.37 4.06
26.00 1978.00 0.00 29.26 17.56 4.32
18.00 1910.00 0.00 29.26 17.56 4.32
44.00 1924.00 0.00 29.26 17.56 4.32
12.00 1966.00 0.00 29.26 17.56 4.32
98.00 1994.00 0.00 29.26 17.56 4.32
24.00 1960.00 0.00 29.26 17.56 4.32
96.00 1996.00 0.00 29.26 17.56 4.32
14.00 1986.00 0.00 29.26 17.56 4.32
20.00 1958.00 0.00 29.26 17.56 4.32
42.00 1966.00 0.00 29.26 17.56 4.32
92.00 1922.00 0.00 29.26 17.56 4.32
12.00 1924.00 0.00 29.26 17.56 4.32
94.00 1908.00 0.00 29.26 17.56 4.32
54.00 1992.00 0.00 29.26 17.56 4.32
76.00 1914.00 0.00 29.26 17.56 4.32
18.00 1928.00 0.00 33.53 25.15 5.31
92.00 1978.00 0.00 33.53 25.15 5.31
84.00 1956.00 0.00 33.53 25.15 5.31
8.00 1998.00 0.00 33.53 25.15 5.31
80.00 1998.00 0.00 33.53 25.15 5.31
80.00 1916.00 0.00 33.53 25.15 5.31
48.00 1996.00 0.00 33.53 25.15 5.31
82.00 1916.00 0.00 33.53 25.15 5.31
2.00 1922.00 0.00 33.53 25.15 5.31
88.00 1998.00 0.00 33.53 25.15 5.31
40.00 1986.00 0.00 33.53 25.15 5.31
14.00 1986.00 0.00 33.53 25.15 5.31
54.00 1958.00 0.00 33.53 25.15 5.31
84.00 1970.00 0.00 33.53 25.15 5.31
58.00 1972.00 0.00 33.53 25.15 5.31
164.00 1934.00 0.00 21.03 16.82 2.25
154.00 1972.00 0.00 21.03 16.82 2.25
146.00 1920.00 0.00 21.03 16.82 2.25
126.00 1964.00 0.00 21.03 16.82 2.25
110.00 1946.00 0.00 21.03 16.82 2.25
180.00 1922.00 0.00 21.03 16.82 2.25
130.00 1936.00 0.00 21.03 16.82 2.25
126.00 1982.00 0.00 21.03 16.82 2.25
196.00 1966.00 0.00 21.03 16.82 2.25
128.00 1980.00 0.00 21.03 16.82 2.25
118.00 1936.00 0.00 21.03 16.82 2.25
156.00 1938.00 0.00 21.03 16.82 2.25
114.00 1908.00 0.00 21.03 16.82 2.25
154.00 1956.00 0.00 21.03 16.82 2.25
146.00 1932.00 0.00 21.03 16.82 2.25
110.00 1996.00 0.00 21.03 14.72 3.12
120.00 1912.00 0.00 21.03 14.72 3.12
126.00 1938.00 0.00 21.03 14.72 3.12
120.00 1948.00 0.00 21.03 14.72 3.12
136.00 1928.00 0.00 21.03 14.72 3.12
158.00 1956.00 0.00 21.03 14.72 3.12
104.00 1918.00 0.00 21.03 14.72 3.12
132.00 1982.00 0.00 21.03 14.72 3.12
192.00 1984.00 0.00 21.03 14.72 3.12
190.00 1924.00 0.00 21.03 14.72 3.12
182.00 1940.00 0.00 21.03 14.72 3.12
194.00 1936.00 0.00 21.03 14.72 3.12
166.00 1946.00 0.00 21.03 14.72 3.12
144.00 1902.00 0.00 21.03 14.72 3.12
134.00 1958.00 0.00 21.03 14.72 3.12
170.00 1940.00 0.00 21.03 16.82 2.45
190.00 1990.00 0.00 21.03 16.82 2.45
