x,y,cw,cbh,ht,output,id
604.2,275.2,4.2,6.1,14.3,.TRUE.,TREE105
604.2,224.5,3.3,10.2,16.1,.TRUE.,TREE106
604.2,165.1,1.8,3.2,6.9,.TRUE.,TREE107
604.2,202.5,1.8,3.3,7,.TRUE.,TREE108
604.3,167.8,1.1,7.5,12.1,.TRUE.,TREE109
604.3,147.1,2.4,4,8.8,.TRUE.,TREE110
604.3,146.9,3.8,5.6,13.1,.TRUE.,TREE111
604.4,205.2,3.1,3.1,10.9,.TRUE.,TREE112
604.5,195.4,2.8,4.5,10.2,.TRUE.,TREE113
604.5,146.6,3.1,4.8,11,.TRUE.,TREE114
604.6,269,2.8,4.5,10.2,.TRUE.,TREE115
604.7,255.6,4.3,6.3,14.7,.TRUE.,TREE116
604.7,106.9,3.4,5.2,12,.TRUE.,TREE117
604.7,192.9,3,4.8,10.8,.TRUE.,TREE118
604.7,155.5,5.9,6,15.2,.TRUE.,TREE119
604.8,120.9,1.3,1.9,5.8,.TRUE.,TREE120
604.8,173.6,2.4,4,8.9,.TRUE.,TREE121
604.9,179.4,3.1,4.9,11.2,.TRUE.,TREE122
604.9,126.1,4.4,6.4,15,.TRUE.,TREE123
604.9,164.6,4,6,13.9,.TRUE.,TREE124
605,167.9,1,0.4,3.9,.TRUE.,TREE125
605,239.7,1.7,3.1,6.5,.TRUE.,TREE126
605,191.7,1.8,10.7,16.5,.TRUE.,TREE127
605,219.8,3.2,5,11.3,.TRUE.,TREE128
605,208.8,1.9,1.7,7.2,.TRUE.,TREE129
605.1,192,4,6,14,.TRUE.,TREE130
605.1,278.7,2.1,1.9,7.1,.TRUE.,TREE131
605.3,173.6,3.1,4.8,11,.TRUE.,TREE132
605.3,254.3,1.2,2.5,5,.TRUE.,TREE133
605.4,279.6,2.2,5.8,12.1,.TRUE.,TREE134
605.4,207.8,5.5,8.3,18.2,.TRUE.,TREE135
605.5,177.1,1.3,2.6,5.2,.TRUE.,TREE136
605.6,177.2,2.8,4.5,10.2,.TRUE.,TREE137
605.6,171.7,2.6,4.2,9.5,.TRUE.,TREE138
605.7,244.3,4.7,6.8,15.9,.TRUE.,TREE139
605.8,159.9,1,0.3,3.6,.TRUE.,TREE140
605.8,247.8,2.8,4.4,6.9,.TRUE.,TREE141
606,165.7,2.7,4.3,9.8,.TRUE.,TREE142
606,159.2,7.3,8.7,16.2,.TRUE.,TREE143
606,204.4,5.9,5.9,20.2,.TRUE.,TREE144
606,233.2,4.5,8.1,16.4,.TRUE.,TREE145
606,156.6,2.8,4.5,10.2,.TRUE.,TREE146
606.1,276.9,3.2,8.2,13.1,.TRUE.,TREE147
606.1,279.4,2.3,3.9,8.5,.TRUE.,TREE148
606.1,217.2,4.3,6.3,14.8,.TRUE.,TREE149
606.1,190,3.1,4.8,11,.TRUE.,TREE150
606.1,201.3,4,6,13.9,.TRUE.,TREE151
606.2,265.7,4.9,7.1,16.8,.TRUE.,TREE152
606.3,279.6,2.1,3.6,7.8,.TRUE.,TREE153
606.3,176.3,5.6,8.1,19.1,.TRUE.,TREE154
606.4,286.8,2,3.5,7.7,.TRUE.,TREE155
606.4,166.5,3,4.7,10.6,.TRUE.,TREE156
606.5,201.5,2,3.5,7.6,.TRUE.,TREE157
606.6,142.6,0.8,4.3,9.6,.TRUE.,TREE158
606.7,192.1,1.4,2.6,3.7,.TRUE.,TREE159
606.8,180.2,1.9,3.4,7.4,.TRUE.,TREE160
606.9,112.5,7.4,9.3,19.1,.TRUE.,TREE161
606.9,106,2.1,3.6,7.9,.TRUE.,TREE162
607,223.3,1,0.5,4.1,.TRUE.,TREE163
607,243.8,1.6,3.1,6.4,.TRUE.,TREE164
607.1,191.6,1,2.3,4.5,.TRUE.,TREE165
607.1,241.2,1.3,2.6,5.2,.TRUE.,TREE166
607.2,290.4,3.4,5.1,11.8,.TRUE.,TREE167
607.3,290.8,4.9,7.1,16.8,.TRUE.,TREE168
607.3,228.4,3.4,5.1,11.8,.TRUE.,TREE169
607.4,185.3,3.4,5.1,11.8,.TRUE.,TREE170
607.4,176.8,3.2,5,11.4,.TRUE.,TREE171
607.4,137.5,5.9,8.2,19.7,.TRUE.,TREE172
607.5,222.2,4,6,13.9,.TRUE.,TREE173
607.5,240,5.2,7.3,14.7,.TRUE.,TREE174
607.6,155.3,2.4,4,8.8,.TRUE.,TREE175
607.6,182.5,3.1,4.8,11,.TRUE.,TREE176
607.6,290.7,2,2.7,6.9,.TRUE.,TREE177
607.7,141,1.3,7.9,13.8,.TRUE.,TREE178
607.7,115.5,5.8,9,18.5,.TRUE.,TREE179
607.7,231.9,3,3.4,10.1,.TRUE.,TREE180
607.8,179.6,3.1,4.8,10.9,.TRUE.,TREE181
607.8,207.5,1.5,1.2,6,.TRUE.,TREE182
607.9,153,1,0.3,3.7,.TRUE.,TREE183
607.9,239.5,1.3,2.7,5.4,.TRUE.,TREE184
607.9,199.3,4.3,6.3,14.9,.TRUE.,TREE185
607.9,231.7,2.3,3.9,8.5,.TRUE.,TREE186
608,283.7,4.7,6.8,15.9,.TRUE.,TREE187
608.1,259,3.4,5.1,11.8,.TRUE.,TREE188
608.2,225.2,1.3,8.4,14.7,.TRUE.,TREE189
608.2,160.4,1.7,8,9.5,.TRUE.,TREE190
608.3,178.8,3.3,3.3,8.8,.TRUE.,TREE191
608.3,135.1,2.5,4.1,9.1,.TRUE.,TREE192
